threshold,accuracy,precision,recall,f1_score,days_in_market
0.3,0.4382259767687434,0.4382259767687434,1.0,0.6093979441997064,947
0.31,0.4382259767687434,0.4382259767687434,1.0,0.6093979441997064,947
0.32,0.4382259767687434,0.4382259767687434,1.0,0.6093979441997064,947
0.33,0.4382259767687434,0.4382259767687434,1.0,0.6093979441997064,947
0.34,0.4392819429778247,0.43868921775898523,1.0,0.6098457016899339,946
0.35,0.440337909186906,0.43823845327604727,0.983132530120482,0.6062407132243686,931
0.36,0.44139387539598735,0.43790849673202614,0.9686746987951808,0.6031507876969242,918
0.37,0.44667370644139387,0.43951165371809103,0.9542168674698795,0.601823708206687,901
0.38,0.45195353748680045,0.43953488372093025,0.9108433734939759,0.5929411764705883,860
0.39,0.4656810982048574,0.44203821656050957,0.8361445783132531,0.5783333333333335,785
0.4,0.48680042238648363,0.4483260553129549,0.7421686746987952,0.558983666061706,687
0.41,0.4963041182682154,0.4461805555555556,0.619277108433735,0.5186680121089808,576
0.42,0.5110876451953538,0.45121951219512196,0.5349397590361445,0.4895259095920617,492
0.43,0.5195353748680043,0.4528301886792453,0.46265060240963857,0.45768772348033376,424
0.44,0.5269271383315733,0.45454545454545453,0.39759036144578314,0.42416452442159386,363
0.45,0.5395987328405492,0.46557377049180326,0.3421686746987952,0.39444444444444443,305
0.46,0.5522703273495249,0.4828897338403042,0.3060240963855422,0.3746312684365782,263
0.47,0.5501583949313622,0.47417840375586856,0.2433734939759036,0.321656050955414,213
0.48,0.5596620908130939,0.4939759036144578,0.19759036144578312,0.28227194492254726,166
0.49,0.5554382259767687,0.4782608695652174,0.15903614457831325,0.23869801084990958,138
0.5,0.5554382259767687,0.4716981132075472,0.12048192771084337,0.19193857965451053,106
0.51,0.5501583949313622,0.4225352112676056,0.07228915662650602,0.12345679012345678,71
0.52,0.5607180570221753,0.48936170212765956,0.05542168674698795,0.09956709956709955,47
0.53,0.5596620908130939,0.4666666666666667,0.033734939759036145,0.06292134831460673,30
0.54,0.5596620908130939,0.4444444444444444,0.01927710843373494,0.03695150115473442,18
0.55,0.5607180570221753,0.45454545454545453,0.012048192771084338,0.02347417840375587,11
0.56,0.5607180570221753,0.42857142857142855,0.007228915662650603,0.014218009478672985,7
0.57,0.5617740232312566,0.5,0.007228915662650603,0.014251781472684086,6
0.58,0.5628299894403379,0.6,0.007228915662650603,0.014285714285714287,5
0.59,0.5617740232312566,0.5,0.004819277108433735,0.00954653937947494,4
0.6,0.5628299894403379,0.6666666666666666,0.004819277108433735,0.009569377990430622,3
0.61,0.5628299894403379,0.6666666666666666,0.004819277108433735,0.009569377990430622,3
0.62,0.5617740232312566,0.0,0.0,0.0,0
0.63,0.5617740232312566,0.0,0.0,0.0,0
0.64,0.5617740232312566,0.0,0.0,0.0,0
0.65,0.5617740232312566,0.0,0.0,0.0,0
0.66,0.5617740232312566,0.0,0.0,0.0,0
0.67,0.5617740232312566,0.0,0.0,0.0,0
0.68,0.5617740232312566,0.0,0.0,0.0,0
0.69,0.5617740232312566,0.0,0.0,0.0,0
0.7,0.5617740232312566,0.0,0.0,0.0,0
